Category;Item;Price
Homes and flats;Slammed door / no security fittings;from 290 CZK
Homes and flats;Slammed door / with security fittings;from 490 CZK
Homes and flats;Slammed / high-security;from 790 CZK
Homes and flats;Slammed / multi-point lock;from 990 CZK
Homes and flats;Locked / standard, no security fittings;from 390 CZK
Homes and flats;Locked / with security fittings;from 890 CZK
Homes and flats;Locked / R1, R3, OS1 fittings;from 990 CZK
Homes and flats;Locked / additional lock;from 890 CZK
Homes and flats;Locked / jammed safe lock;from 1,190 CZK
Homes and flats;Locked / broken latch;from 790 CZK
Homes and flats;Locked / lever lock;from 790 CZK
Homes and flats;Locked / mailbox, desk or furniture lock;from 590 CZK
Homes and flats;Locked / safe lock;from 1,990 CZK
Homes and flats;Safe opening, repair and servicing;by type
Lock repair and fitting;Lock replacement / plain door, no fittings;from 290 CZK
Lock repair and fitting;Security lock cylinder replacement;from 390 CZK
Lock repair and fitting;Cylinder replacement / multi-bolt locks;from 790 CZK
Lock repair and fitting;Lock replacement CR, Mottura, CISA;from 1,090 CZK
Lock repair and fitting;Repair / jammed latch or bolt;from 1,090 CZK
Lock repair and fitting;Installation / smart locks;from 990 CZK
Lock repair and fitting;Installation of R1, Richter fittings;from 890 CZK
Lock repair and fitting;Mortise lock installation;from 690 CZK
Lock repair and fitting;Electromechanical lock installation;from 1,090 CZK
Lock repair and fitting;Broken key extraction;from 490 CZK
Lock repair and fitting;Cylinder removal without a key;from 590 CZK
Lock repair and fitting;Security bar installation;from 1,490 CZK
Lock repair and fitting;Additional lock installation;from 990 CZK
Lock repair and fitting;Door repair;from 390 CZK
Car opening;Car up to model year 2002 (no safe lock);from 590 CZK
Car opening;Car model year 2002–2007 (no safe lock);from 990 CZK
Car opening;Car from model year 2007 (no safe lock);from 1,290 CZK
Car opening;Safe-type security up to model year 2007;from 1,490 CZK
Car opening;Safe-type security, model years 2008–2018;from 1,690 CZK
Car opening;Lock replacement;from 990 CZK
Car opening;Ignition switch replacement;from 1,990 CZK
Car opening;Gear lock removal (DEFEND LOCK etc.);from 2,490 CZK
Travel and discounts;Travel charge (by distance);490 CZK
Travel and discounts;Travel outside Prague;+20 CZK / km
Travel and discounts;Express call-out, emergency;300 CZK
Travel and discounts;Discount for regular customers;−50 %
Travel and discounts;Discount for crime victims (break-ins etc.);−30 %
Travel and discounts;Out-of-hours (17:00–07:00), weekends, holidays;+100 %
Travel and discounts;Consumables (drill bits, cutters, discs);as used
