Category;Item;Price
Квартиры и дома;Захлопнулась дверь / без защитной фурнитуры;от 290 крон
Квартиры и дома;Захлопнулась дверь / с защитной фурнитурой;от 490 крон
Квартиры и дома;Захлопнулась / повышенной безопасности;от 790 крон
Квартиры и дома;Захлопнулась / многозапорный замок;от 990 крон
Квартиры и дома;Заперто / обычный, без защиты;от 390 крон
Квартиры и дома;Заперто / с защитной фурнитурой;от 890 крон
Квартиры и дома;Заперто / фурнитура R1, R3, OS1;от 990 крон
Квартиры и дома;Заперто / дополнительный замок;от 890 крон
Квартиры и дома;Заперто / заклинивший сейфовый замок;от 1 190 крон
Квартиры и дома;Заперто / сломана защёлка;от 790 крон
Квартиры и дома;Заперто / сувальдный замок;от 790 крон
Квартиры и дома;Заперто / почтовый, столовый, мебельный замок;от 590 крон
Квартиры и дома;Заперто / сейфовый замок;от 1 990 крон
Квартиры и дома;Вскрытие, ремонт и обслуживание сейфа;по типу
Ремонт и установка замков;Замена замка / обычная дверь без фурнитуры;от 290 крон
Ремонт и установка замков;Замена цилиндра защитного замка;от 390 крон
Ремонт и установка замков;Замена цилиндра / многозапорные замки;от 790 крон
Ремонт и установка замков;Замена замка CR, Mottura, CISA;от 1 090 крон
Ремонт и установка замков;Ремонт / заклинившая защёлка или ригель;от 1 090 крон
Ремонт и установка замков;Установка / умные замки;от 990 крон
Ремонт и установка замков;Установка фурнитуры R1, Richter и др.;от 890 крон
Ремонт и установка замков;Установка врезного замка;от 690 крон
Ремонт и установка замков;Установка электромеханического замка;от 1 090 крон
Ремонт и установка замков;Извлечение сломанного ключа;от 490 крон
Ремонт и установка замков;Демонтаж цилиндра без ключа;от 590 крон
Ремонт и установка замков;Установка защитного засова;от 1 490 крон
Ремонт и установка замков;Установка дополнительного замка;от 990 крон
Ремонт и установка замков;Ремонт двери;от 390 крон
Вскрытие авто;Автомобиль до 2002 года (без сейфового замка);от 590 крон
Вскрытие авто;Автомобиль 2002–2007 (без сейфового замка);от 990 крон
Вскрытие авто;Автомобиль от 2007 года (без сейфового замка);от 1 290 крон
Вскрытие авто;Сейфовый тип защиты до 2007 года;от 1 490 крон
Вскрытие авто;Сейфовый тип защиты 2008–2018;от 1 690 крон
Вскрытие авто;Замена замков;от 990 крон
Вскрытие авто;Замена замка зажигания;от 1 990 крон
Вскрытие авто;Демонтаж замка КПП (DEFEND LOCK и др.);от 2 490 крон
Выезд и скидки;Транспортные расходы (по расстоянию);490 крон
Выезд и скидки;Выезд за пределы Праги;+20 крон / км
Выезд и скидки;Срочный выезд, аварийная служба;300 крон
Выезд и скидки;Скидка постоянным клиентам;−50 %
Выезд и скидки;Скидка жертвам преступлений (взлом и т. п.);−30 %
Выезд и скидки;Вне рабочего времени (17:00–07:00), выходные, праздники;+100 %
Выезд и скидки;Расходные материалы (свёрла, фрезы, диски);по расходу
