Category;Item;Price
Квартири та будинки;Захряснули двері / без захисної фурнітури;від 290 крон
Квартири та будинки;Захряснули двері / із захисною фурнітурою;від 490 крон
Квартири та будинки;Захряснули / підвищеної безпеки;від 790 крон
Квартири та будинки;Захряснули / багатозапорний замок;від 990 крон
Квартири та будинки;Замкнено / звичайний, без захисту;від 390 крон
Квартири та будинки;Замкнено / із захисною фурнітурою;від 890 крон
Квартири та будинки;Замкнено / фурнітура R1, R3, OS1;від 990 крон
Квартири та будинки;Замкнено / додатковий замок;від 890 крон
Квартири та будинки;Замкнено / заклинив сейфовий замок;від 1 190 крон
Квартири та будинки;Замкнено / зламана засувка;від 790 крон
Квартири та будинки;Замкнено / сувальдний замок;від 790 крон
Квартири та будинки;Замкнено / поштовий, столовий, меблевий замок;від 590 крон
Квартири та будинки;Замкнено / сейфовий замок;від 1 990 крон
Квартири та будинки;Відкриття, ремонт і обслуговування сейфа;за типом
Ремонт і встановлення замків;Заміна замка / звичайні двері без фурнітури;від 290 крон
Ремонт і встановлення замків;Заміна циліндра захисного замка;від 390 крон
Ремонт і встановлення замків;Заміна циліндра / багатозапорні замки;від 790 крон
Ремонт і встановлення замків;Заміна замка CR, Mottura, CISA;від 1 090 крон
Ремонт і встановлення замків;Ремонт / заклинила засувка або ригель;від 1 090 крон
Ремонт і встановлення замків;Встановлення / розумні замки;від 990 крон
Ремонт і встановлення замків;Встановлення фурнітури R1, Richter тощо;від 890 крон
Ремонт і встановлення замків;Встановлення врізного замка;від 690 крон
Ремонт і встановлення замків;Встановлення електромеханічного замка;від 1 090 крон
Ремонт і встановлення замків;Виймання зламаного ключа;від 490 крон
Ремонт і встановлення замків;Демонтаж циліндра без ключа;від 590 крон
Ремонт і встановлення замків;Встановлення захисного засува;від 1 490 крон
Ремонт і встановлення замків;Встановлення додаткового замка;від 990 крон
Ремонт і встановлення замків;Ремонт дверей;від 390 крон
Відкриття авто;Автомобіль до 2002 року (без сейфового замка);від 590 крон
Відкриття авто;Автомобіль 2002–2007 (без сейфового замка);від 990 крон
Відкриття авто;Автомобіль від 2007 року (без сейфового замка);від 1 290 крон
Відкриття авто;Сейфовий тип захисту до 2007 року;від 1 490 крон
Відкриття авто;Сейфовий тип захисту 2008–2018;від 1 690 крон
Відкриття авто;Заміна замків;від 990 крон
Відкриття авто;Заміна замка запалювання;від 1 990 крон
Відкриття авто;Демонтаж замка КПП (DEFEND LOCK тощо);від 2 490 крон
Виїзд і знижки;Транспортні витрати (за відстанню);490 крон
Виїзд і знижки;Виїзд за межі Праги;+20 крон / км
Виїзд і знижки;Терміновий виїзд, аварійна служба;300 крон
Виїзд і знижки;Знижка постійним клієнтам;−50 %
Виїзд і знижки;Знижка жертвам злочинів (злам тощо);−30 %
Виїзд і знижки;Поза робочим часом (17:00–07:00), вихідні, свята;+100 %
Виїзд і знижки;Витратні матеріали (свердла, фрези, диски);за витратою
