Kategorie;Položka;Cena
Otevírání bytů a domů;Zabouchnuté dveře / bez bezpečnostních prvků;od 290 Kč
Otevírání bytů a domů;Zabouchnuté dveře / s bezpečnostním kováním;od 490 Kč
Otevírání bytů a domů;Zabouchnuté / bezpečnostní;od 790 Kč
Otevírání bytů a domů;Zabouchnuté / s vícebodovým zámkem;od 990 Kč
Otevírání bytů a domů;Zamčeno / obyčejné, bez bezp. prvků;od 390 Kč
Otevírání bytů a domů;Zamčeno / s bezpečnostním kováním;od 890 Kč
Otevírání bytů a domů;Zamčeno / kování R1, R3, OS1;od 990 Kč
Otevírání bytů a domů;Zamčeno / přídavný zámek;od 890 Kč
Otevírání bytů a domů;Zamčeno / zaseklý trezorový zámek;od 1 190 Kč
Otevírání bytů a domů;Zamčeno / prasklá střelka zámku;od 790 Kč
Otevírání bytů a domů;Zamčeno / dozický zámek;od 790 Kč
Otevírání bytů a domů;Zamčeno / schránkový, stolový, nábytkový zámek;od 590 Kč
Otevírání bytů a domů;Zamčeno / trezorový zámek;od 1 990 Kč
Otevírání bytů a domů;Otevření, oprava a servis trezoru;dle typu
Opravy a montáže zámků;Výměna zámku / obyčejné dveře bez kování;od 290 Kč
Opravy a montáže zámků;Výměna vložky bezpečnostního zámku;od 390 Kč
Opravy a montáže zámků;Výměna vložky / rozvorové zámky;od 790 Kč
Opravy a montáže zámků;Výměna zámku CR, Mottura, CISA;od 1 090 Kč
Opravy a montáže zámků;Oprava / zaseklá střelka nebo závora;od 1 090 Kč
Opravy a montáže zámků;Montáž / chytré zámky;od 990 Kč
Opravy a montáže zámků;Montáž kování R1, Richter apod.;od 890 Kč
Opravy a montáže zámků;Montáž zadlabacího zámku;od 690 Kč
Opravy a montáže zámků;Montáž elektromechanického zámku;od 1 090 Kč
Opravy a montáže zámků;Vyjmutí zlomeného klíče;od 490 Kč
Opravy a montáže zámků;Demontáž vložky bez klíče;od 590 Kč
Opravy a montáže zámků;Montáž bezpečnostní závory;od 1 490 Kč
Opravy a montáže zámků;Montáž přídavného zámku;od 990 Kč
Opravy a montáže zámků;Oprava dveří;od 390 Kč
Cestovné, slevy a příplatky;Přepravné (dle vzdálenosti);490 Kč
Cestovné, slevy a příplatky;Doprava mimo Prahu;+20 Kč / km
Cestovné, slevy a příplatky;Expresní výjezd, pohotovost;300 Kč
Cestovné, slevy a příplatky;Sleva pro stálé zákazníky;−50 %
Cestovné, slevy a příplatky;Sleva pro oběti trestných činů (vloupání apod.);−30 %
Cestovné, slevy a příplatky;Mimopracovní příplatek (17:00–7:00), víkend, svátek;+100 %
Cestovné, slevy a příplatky;Spotřební materiál (vrtáky, frézy, kotouče);dle spotřeby
Otevírání aut;Otevření auta do r. v. 2002 (bez safe);od 590 Kč
Otevírání aut;Otevření auta r. v. 2002 – 2007 (bez safe);od 990 Kč
Otevírání aut;Otevření auta od r. v. 2007 (bez safe);od 1 290 Kč
Otevírání aut;Trezorový typ zabezpečení do r. v. 2007;od 1 490 Kč
Otevírání aut;Trezorový typ zabezpečení r. v. 2008 – 2018;od 1 690 Kč
Otevírání aut;Výměna zámků;od 990 Kč
Otevírání aut;Výměna spínací skříňky;od 1 990 Kč
Otevírání aut;Demontáž zámku řazení (DEFEND LOCK apod.);od 2 490 Kč
